item_a,item_b,together,confidence,lift
368c6c730842d78016ad823897a372db,0bcc3eeca39e1064258aa1e932269894,4,0.14814814814814814,26.312757201646086
0bcc3eeca39e1064258aa1e932269894,368c6c730842d78016ad823897a372db,4,0.2222222222222222,26.312757201646086
5526b1ae9ab2688cf600783cece249df,1427b126f61597524866770b05d4eed2,4,0.8,426.26666666666665
1427b126f61597524866770b05d4eed2,5526b1ae9ab2688cf600783cece249df,4,0.6666666666666666,426.2666666666666
9ad75bd7267e5c724cb42c71ac56ca72,4d0ec1e9b95fb62f9a1fbe21808bf3b1,4,0.36363636363636365,166.07792207792207
4d0ec1e9b95fb62f9a1fbe21808bf3b1,9ad75bd7267e5c724cb42c71ac56ca72,4,0.5714285714285714,166.07792207792207
060f0122cdc8f25db4a0d7359fdae7b0,57f2bc497c1a3ebe41ba7a06d78ed159,4,0.8,319.7
57f2bc497c1a3ebe41ba7a06d78ed159,060f0122cdc8f25db4a0d7359fdae7b0,4,0.5,319.7
c211ff3068fcd2f8898192976d8b3a32,f4d705aa95ccca448e5b0deb6e5290ba,4,0.4444444444444444,202.98412698412696
f4d705aa95ccca448e5b0deb6e5290ba,c211ff3068fcd2f8898192976d8b3a32,4,0.5714285714285714,202.98412698412696
0a4093a4af429dc0a9334300e5c13ae5,e0cf79767c5b016251fe139915c59a26,4,0.4444444444444444,129.17171717171715
e0cf79767c5b016251fe139915c59a26,0a4093a4af429dc0a9334300e5c13ae5,4,0.36363636363636365,129.17171717171718
fbc1488c1a1e72ba175f53ab29a248e8,6e423c2d28bfb207e1fd1d6e1df84721,3,0.42857142857142855,456.71428571428567
6e423c2d28bfb207e1fd1d6e1df84721,fbc1488c1a1e72ba175f53ab29a248e8,3,1.0,456.71428571428567
2d27434c710806b971a721da337a112a,86c43103446290e7efacad3701cd654d,3,0.75,399.625
86c43103446290e7efacad3701cd654d,2d27434c710806b971a721da337a112a,3,0.5,399.625
5c692818d313aa12864b48ac0c2472c2,2136c70bbe723d338fab53da3c03e6dc,3,0.375,59.943749999999994
2136c70bbe723d338fab53da3c03e6dc,5c692818d313aa12864b48ac0c2472c2,3,0.15,59.943749999999994
8b51c6ccc9c0548c951214e1cd1547ff,5bd7e57735a44e529bf066fee83a9c60,3,0.75,479.54999999999995
5bd7e57735a44e529bf066fee83a9c60,8b51c6ccc9c0548c951214e1cd1547ff,3,0.6,479.54999999999995
42a2bd596fda1baef5719cb74f73030c,98b22c1129886cbd7fcae69d1c93e442,3,0.3333333333333333,266.41666666666663
98b22c1129886cbd7fcae69d1c93e442,42a2bd596fda1baef5719cb74f73030c,3,0.75,266.41666666666663
a2a91fe6d8762e0371abd964cef88ec6,100260bf9206d859dc8db128c8c5afc9,3,1.0,1065.6666666666665
100260bf9206d859dc8db128c8c5afc9,a2a91fe6d8762e0371abd964cef88ec6,3,1.0,1065.6666666666665
c403e106353e1aa40efe783ecb39ed7a,9fc98e39f04be8e382d8aa5e259f5489,3,0.42857142857142855,342.5357142857142
9fc98e39f04be8e382d8aa5e259f5489,c403e106353e1aa40efe783ecb39ed7a,3,0.75,342.5357142857143
fc5dd987f12a7b823a76a44aa1ba88f6,7eaf66aca1ed54df09b3c864b7416110,3,0.6,639.4
7eaf66aca1ed54df09b3c864b7416110,fc5dd987f12a7b823a76a44aa1ba88f6,3,1.0,639.4
0be487faac01dd57fd7ed17cfbdf2dee,4d272fe20c57c64dc74b3db191fc31ef,3,1.0,799.25
4d272fe20c57c64dc74b3db191fc31ef,0be487faac01dd57fd7ed17cfbdf2dee,3,0.75,799.25
810e2944bca9850b934e1570ba372e7d,5d6bea33648f018dbb563f3a2fab09f3,3,0.6,213.13333333333333
5d6bea33648f018dbb563f3a2fab09f3,810e2944bca9850b934e1570ba372e7d,3,0.3333333333333333,213.1333333333333
b0c89945c034268074f5f80b362bda34,946344697156947d846d27fe0d503033,3,0.2727272727272727,87.19090909090907
946344697156947d846d27fe0d503033,b0c89945c034268074f5f80b362bda34,3,0.3,87.19090909090909
b0c89945c034268074f5f80b362bda34,ff2c1ec09b1bb340e84f0d6b21cc7dbb,3,0.2727272727272727,174.38181818181815
ff2c1ec09b1bb340e84f0d6b21cc7dbb,b0c89945c034268074f5f80b362bda34,3,0.6,174.38181818181818
99a4788cb24856965c36a24e339b6058,eebbed5ed3b134eceb717496c47652ba,3,0.057692307692307696,46.11057692307692
eebbed5ed3b134eceb717496c47652ba,99a4788cb24856965c36a24e339b6058,3,0.75,46.11057692307692
7c1bd920dbdf22470b68bde975dd3ccf,154e7e31ebfa092203795c972e5804a6,3,0.75,479.54999999999995
154e7e31ebfa092203795c972e5804a6,7c1bd920dbdf22470b68bde975dd3ccf,3,0.6,479.54999999999995
f2ecbb02b6da187a9f14b8ac5781faec,017692475c1c954ff597feda05131d73,3,0.6,319.7
017692475c1c954ff597feda05131d73,f2ecbb02b6da187a9f14b8ac5781faec,3,0.5,319.7
480be8d20c4b6a7df1eae0f2c17f2db2,0cfc9fea40ee0f7006d150fbdf3fa808,3,1.0,1065.6666666666665
0cfc9fea40ee0f7006d150fbdf3fa808,480be8d20c4b6a7df1eae0f2c17f2db2,3,1.0,1065.6666666666665
53759a2ecddad2bb87a079a1f1519f73,0bcc3eeca39e1064258aa1e932269894,3,0.10344827586206896,18.373563218390803
0bcc3eeca39e1064258aa1e932269894,53759a2ecddad2bb87a079a1f1519f73,3,0.16666666666666666,18.373563218390803
b9900407a55cb2b306ae612415c3340e,55bfa0307d7a46bed72c492259921231,3,1.0,1065.6666666666665
55bfa0307d7a46bed72c492259921231,b9900407a55cb2b306ae612415c3340e,3,1.0,1065.6666666666665
9bb8ca338e5588c361e34eae02e8fad6,b8a0d73b2a06e7910d9864dccdb0cda2,3,0.5,319.7
b8a0d73b2a06e7910d9864dccdb0cda2,9bb8ca338e5588c361e34eae02e8fad6,3,0.6,319.7
0bcc3eeca39e1064258aa1e932269894,b0961721fd839e9982420e807758a2a6,3,0.16666666666666666,48.43939393939394
b0961721fd839e9982420e807758a2a6,0bcc3eeca39e1064258aa1e932269894,3,0.2727272727272727,48.43939393939393
64fb265487de2238627ce43fe8a67efc,84f456958365164420cfc80fbe4c7fab,3,0.6,274.0285714285714
84f456958365164420cfc80fbe4c7fab,64fb265487de2238627ce43fe8a67efc,3,0.42857142857142855,274.0285714285714
55bfa0307d7a46bed72c492259921231,e2cac69b319c0f8a21dbf04b925121bf,3,1.0,1065.6666666666665
e2cac69b319c0f8a21dbf04b925121bf,55bfa0307d7a46bed72c492259921231,3,1.0,1065.6666666666665
b9900407a55cb2b306ae612415c3340e,e2cac69b319c0f8a21dbf04b925121bf,3,1.0,1065.6666666666665
e2cac69b319c0f8a21dbf04b925121bf,b9900407a55cb2b306ae612415c3340e,3,1.0,1065.6666666666665
0bcc3eeca39e1064258aa1e932269894,389d119b48cf3043d311335e499d9c6b,3,0.16666666666666666,19.0297619047619
389d119b48cf3043d311335e499d9c6b,0bcc3eeca39e1064258aa1e932269894,3,0.10714285714285714,19.0297619047619
9bb8ca338e5588c361e34eae02e8fad6,f40876e0ef3cd5f9132b1f16b04b1346,3,0.5,399.625
f40876e0ef3cd5f9132b1f16b04b1346,9bb8ca338e5588c361e34eae02e8fad6,3,0.75,399.625
3cc4b421c1f28dd22e86fc4aaafb600e,42a2bd596fda1baef5719cb74f73030c,3,0.5,177.61111111111111
42a2bd596fda1baef5719cb74f73030c,3cc4b421c1f28dd22e86fc4aaafb600e,3,0.3333333333333333,177.6111111111111
058b372f969b59e8c4a27e224243909c,fb55982be901439613a95940feefd9ee,3,1.0,532.8333333333333
fb55982be901439613a95940feefd9ee,058b372f969b59e8c4a27e224243909c,3,0.5,532.8333333333333
b0961721fd839e9982420e807758a2a6,422879e10f46682990de24d770e7f83d,3,0.2727272727272727,27.247159090909086
422879e10f46682990de24d770e7f83d,b0961721fd839e9982420e807758a2a6,3,0.09375,27.24715909090909
ad0a798e7941f3a5a2fb8139cb62ad78,b0c89945c034268074f5f80b362bda34,3,0.3333333333333333,96.87878787878788
b0c89945c034268074f5f80b362bda34,ad0a798e7941f3a5a2fb8139cb62ad78,3,0.2727272727272727,96.87878787878786
e53e557d5a159f5aa2c5e995dfdf244b,56cdfe67fbda57c1dcc752f5f361f981,3,0.07894736842105263,50.478947368421046
56cdfe67fbda57c1dcc752f5f361f981,e53e557d5a159f5aa2c5e995dfdf244b,3,0.6,50.478947368421046
fb29f48bfea41db52e349454f433340e,6d2fde7d12bb6ff367dbda120ba8828e,3,1.0,1065.6666666666665
6d2fde7d12bb6ff367dbda120ba8828e,fb29f48bfea41db52e349454f433340e,3,1.0,1065.6666666666665
d1c427060a0f73f6b889a5c7c61f2ac4,c4baedd846ed09b85f78a781b522f126,3,0.25,159.85
c4baedd846ed09b85f78a781b522f126,d1c427060a0f73f6b889a5c7c61f2ac4,3,0.6,159.85
2136c70bbe723d338fab53da3c03e6dc,a84d0660dbffebf352aefbf1a6b18d00,3,0.15,79.925
a84d0660dbffebf352aefbf1a6b18d00,2136c70bbe723d338fab53da3c03e6dc,3,0.5,79.925
07ffc018eaf23e086370dea42c74077b,fc5dd987f12a7b823a76a44aa1ba88f6,3,0.6,383.64
fc5dd987f12a7b823a76a44aa1ba88f6,07ffc018eaf23e086370dea42c74077b,3,0.6,383.64
3e5201fe0d1ba474d9b90152c83c706c,4f88323d03ffaf090b8fb0116b33c95e,3,0.23076923076923078,184.44230769230768
4f88323d03ffaf090b8fb0116b33c95e,3e5201fe0d1ba474d9b90152c83c706c,3,0.75,184.44230769230768
35afc973633aaeb6b877ff57b2793310,f2e53dd1670f3c376518263b3f71424d,3,0.08333333333333333,26.641666666666662
f2e53dd1670f3c376518263b3f71424d,35afc973633aaeb6b877ff57b2793310,3,0.3,26.641666666666666
87d780fa7d2cf3710aa02dc4ca8db985,8a443635fdf9759915c9be5be2e3b862,3,0.375,119.88749999999999
8a443635fdf9759915c9be5be2e3b862,87d780fa7d2cf3710aa02dc4ca8db985,3,0.3,119.88749999999999
